RA_degrees,DEC_degrees,Z,Distance_Mpc,r_mag_abs,gminusi
154.95308359051987,52.40609125740852,0.099670924,426.86493888071607,-20.89229,1.0960941
155.22000625564232,51.52097876064247,0.087626226,375.28059455496924,-20.66611,1.0070305
154.9388203200103,52.198576592813936,0.09802113,419.79928272281376,-21.013073,0.76218414
154.95224704677923,51.898155721712115,0.053464968,228.97670877064976,-21.350597,1.267416
154.7601689089148,51.62526694235686,0.053604104,229.57259191274642,-21.864605,0.99949074
154.58603441373373,52.13307779415865,0.09195843,393.8343237536294,-21.096828,1.083664
154.4653790216395,51.617185690468304,0.07648603,327.56999321835383,-21.78563,0.95799255
154.53022395460573,51.88883811962495,0.07656424,327.90494116033824,-21.750463,1.0544891
154.41682694104142,52.39639146240803,0.07648022,327.54510426010404,-21.519466,0.9594517
154.49243194796736,52.818416797932116,0.04418184,189.21945381505148,-21.905594,1.0846157
154.089598680673,52.74195634668237,0.052055284,222.93939735889435,-20.373636,1.1144314
153.8492197262615,51.8340471077843,0.08157296,349.3560003706387,-21.100018,1.0243378
153.21211401713447,52.50216674250802,0.08936568,382.73024266617637,-21.223534,1.0923862
152.83824419016125,52.11909787871225,0.05319451,227.81841494441034,-21.826496,1.1591454
153.6238370529099,50.498399181035104,0.023352662,100.01344680999007,-20.843693,1.2589607
153.5581045985107,50.94902331539576,0.025183408,107.85405897370407,-20.75537,1.1865692
153.37118368345747,51.38013486800515,0.022834552,97.7945164097207,-20.602863,1.1908512
154.01592127510506,50.86006324887475,0.08683331,371.8847514731543,-20.704832,1.1344204
153.99233517663743,50.75688865421846,0.06274339,268.71379728828157,-21.664919,0.7635994
153.45997035430776,51.195445628446706,0.088012815,376.9362527302333,-22.256096,0.798172
153.49661662239154,51.34278053905662,0.021013705,89.99629524733339,-20.638647,1.1627178
154.21726883367378,50.443524326622985,0.06425143,275.1723543184144,-21.56487,1.0424519
153.88773996463007,51.48116003455729,0.062486287,267.6127002026354,-20.871023,0.7899952
154.5320266544874,50.703301462895936,0.09226493,395.14696102993827,-21.012577,1.169836
154.7087546873434,50.63794547204053,0.053897448,230.828909943785,-20.742336,1.1372337
154.62722428174393,50.92548835851058,0.054138243,231.86017435618808,-20.651379,1.1538582
154.5235964806129,51.16396787658855,0.067283615,288.1584235566003,-20.903412,1.2473469
154.67559429369567,51.36885988206339,0.055159178,236.23257400563784,-20.893112,0.98482704
154.33532146151455,51.38413300483823,0.08783971,376.1948808635984,-21.481426,1.1918793
155.00166210100915,51.36202248957058,0.087403364,374.32613491501127,-20.468252,1.1579571
155.36883351921392,51.287087682912265,0.05110832,218.88378947547503,-20.620544,1.1335526
155.49282614592144,51.224026048705454,0.056368496,241.41177476389066,-20.853512,1.1273804
155.4501819829244,51.46603877840279,0.087317295,373.957523061548,-20.690727,1.2287941
155.65588507641067,51.42084063846716,0.051748086,221.62374468956673,-22.816164,1.0430832
155.62358823998258,51.406126689810655,0.052153263,223.35901562230927,-21.296474,1.0296288
156.186411780438,51.23411101626185,0.09445008,404.5054007853781,-21.183872,1.2471714
155.8042007863401,51.48911330590735,0.087151304,373.2466242143086,-20.501616,1.1002827
157.29455694483397,52.08448339145928,0.09992864,427.968668452331,-21.019245,1.1699009
